author,year,title,journal,abstract
,2024,2024 IEEE“一带一路”人工智能可持续发展大会.,智能系统学报,"<正>携手共赴金色十年壮阔新征程，合力共创智能时代可持续发展。2024年是“一带一路”倡议“下一个金色十年”的崭新起点，也是高质量共建“一带一路”八项行动的重要节点。推动科技创新作为“八项行动”的关键内容，为通用人工智能时代下世界各国现代化发展带来无限可能，为一带一路可持续发展目标实现注入强劲动能。为此，中国人工智能学会联合IEEE China Council主办《2024 IEEE“一带一路”人工智能可持续发展大会》，携手打造国际化交流平台，构建全球性共创模式，为一带一路高质量、可持续发展凝共识、集众智、聚合力、谋未来。大会将于2024年6月22—23日在中国杭州举办，邀请国内外“一带一路”相关国家政府机构代表、科研院所及企业负责人、学术研究机构、社会组织各界嘉宾共同参加，围绕人工智能大模型应用创新，开展大模型创新算法及关键技术研究，探索通用人工智能新路径，推动""一带一路""通用人工智能可持续发展。"
,2024,2024全国知识图谱与语义计算大会暨知识图谱国际联合会议(CCKS-IJCKG 2024)在重庆顺利召开.,中文信息学报,"<正>2024年9月20日至22日,全国知识图谱与语义计算大会2024(China Cnferenceon Ko nowledge Garphand Smantic Ce omputing,CCKS2024)暨知识图谱国际联合会议2024(International Jinto Conference ofKnowledge Garph,IJCKG2024)在重庆举行,本次大会由中国中文信息学会语言与知识计算专委会主办,重庆大学承办,西南大学与重庆交通大学协办。"
,2024,2024亚太人工智能与机器人产业峰会.,智能系统学报,<正>7月13—14日，2024亚太人工智能与机器人产业峰会将在杭州举办。届时，中外学者、行业专家将深入探讨AI大模型、机器学习、机器人等领域的学术前沿和行业趋势，促进跨地区交流、激发跨学科融合、推动跨领域协作。2024亚太人工智能与机器人产业峰会由中国人工智能学会主办，以开放共享、合作创新为理念，旨在搭建一个高水平的学术交流和产业对接盛会，汇聚来自亚太地区乃至全球的顶尖学者、行业专家、企业领袖，共享各国先进成果与经验，汇聚多方智慧与资源，探索智能化时代的亚太共创共赢方案，推动亚太地区人工智能和机器人产业协同发展，为区域经济发展注入新动力。
,2024,第二届人工智能大模型技术高峰论坛.,智能系统学报,<正>在AI大模型产品化、产业化阶段来临的背景下，2024第二届人工智能大模型技术高峰论坛如约起航，将于9月21日在江苏南京举办。本届高峰论坛将汇聚AI大模型最新研究观点和学术成果，探讨技术趋势和行业未来，强化产学协同、激发场景创新、加速应用落地。届时，政产学研各界嘉宾将齐聚高峰论坛开幕式，见证重量级项目发布，推动更多跨界合作与资源整合。特邀中外杰出科学家作主旨报告，汇聚前沿智慧，碰撞多元思想火花，引领技术创新方向。特设多模态融媒体大模型、可信安全高效的大模型技术、大模型与具身智能、工业大模型与实体经济、生成式人工智能与新质生产力、人工智能助力科研范式升级换代、大模型AI应用技术和工程7大专题论坛，促进知识共享与创新思维的碰撞，促成跨领域合作解决实际问题。清华大学、东南大学、南京大学、武汉大学、西安交通大学、中山大学、浙江大学、重庆师范大学、中国科学院自动化研究所等多个高校及科研院所的研究成果集中呈现，赋能大模型技术创新。华为、腾讯、科大讯飞等多家领军企业及创新企业分享大模型技术与行业实践经验，加速新技术、新理念、新模式的传播与应用。
,2024,《教育人工智能大模型数据治理与共享技术标准白皮书》在2024世界人工智能大会上正式发布.,现代教育技术,<正>2024年7月6日，2024世界人工智能大会语料主题论坛在上海市世博中心成功举办。上海市各相关部门代表、上海人工智能实验室、人民网、上海报业、上海图书馆、上海信投、上海算法创新研究院、中国信通院、复旦大学、华东师范大学、国家开放大学以及科大讯飞股份有限公司、广州视睿电子科技有限公司（希沃）等近1000家大模型语料生态企业参会。本次论坛以“语料筑基，智生时代”为主题，由上海库帕思科技有限公司联合大模型语料数据联盟等单位共同承办，围绕高质量语料数据如何高效供给赋能大模型产业发展，向市场传递专业化、链接型、前瞻性的语料生态设计理念。
,2024,评测任务征集|全国知识图谱与语义计算大会和知识图谱国际联合会议联办（CCKS-IJCKG 2024）.,中文信息学报,"<正>全国知识图谱与语义计算大会和知识图谱国际联合会议联办，是由第十八届全国知识图谱与语义计算大会2024(China Conference on Knowledge Graph and Semantic Computing,CCKS2024）和第十三届知识图谱国际联合会议2024(International Joint Conference of Knowledge Graph,IJCKG 2024）联合举办。其中，全国知识图谱与语义计算大会（CCKS）由中国中文信息学会语言与知识计算专业委员会主办，"
,2025,A(I人工智能)大模型快速预测人体基因组三维结构.,科技导报,<正>物种的每个细胞都含有相同的基因序列，但不同类型的细胞只选择性表达其中的一部分，如脑细胞和皮肤细胞。这种差异化表达由染色质的三维结构决定，该结构控制着每个基因的可访问性。然而，确定染色质结构的实验方法耗时费力，处理1个细胞的数据大约需要1周时间。2025年1月31日，美国麻省理工学院的化学家们在《Science Advances》公布了一项突破性成果：他们利用生成式AI技术开发出一个模型“ChromoGen”，能在数分钟内预测数千种单细胞染色质结构。
,2025,人工智能前沿法治研究.,中国法律评论,"<正>编者按近年来,人工智能技术正在持续取得重大突破:Resnet解决了梯度退化和消失问题,使深度神经网络的训练效果大为增强;GAN算法的成熟带动了深度合成技术的全面成型;Transformer架构基于并行注意力机制堆叠出庞大架构,为BERT等大模型的出现奠定基础;Decoder-only的路线孕育了GPT系列大模型,生成式人工智能由此笙歌鼎沸;RAG技术使大模型与特定知识密切结合,催生了日益强大的领域模型;MoE架构和MTP方法等新技术的加入使大模型开始突破“规模竞赛”的壁垒,转向“内涵式发展”。向量数据库、测评基准、开源框架等的高速演化,更使得整个人工智能生态欣欣向荣,而不可估量的蓬勃生机与不可胜数的不确定性风险将持续共存共生。"
,2026,八部门联合发文：推动人工智能在基础设施运维等环节的应用.,给水排水,"<正>近日，工业和信息化部、中央网信办、国家发展改革委、教育部、商务部、国务院国资委、市场监管总局、国家数据局印发《“人工智能+制造”专项行动实施意见》(以下简称《实施意见》)。《实施意见》提出，到2027年，我国人工智能关键核心技术实现安全可靠供给，产业规模和赋能水平稳居世界前列。推动3～5个通用大模型在制造业深度应用，形成特色化、全覆盖的行业大模型，推出 1 000 个高水平工业智能体，打造 100 个工业领域高质量数据集，推广500型应用场景。培育2～3家具有全球影响力的生态主导型企业和一批专精特新中小企业,打造一批“懂智能、熟行业”的赋能应用服务商。"
《学术前沿》编者,2024,人工智能大模型发展如何“走深向实”（之二）.,人民论坛·学术前沿,<正>人工智能技术经历从小数据到大数据、从小模型到大模型、从专用到通用的发展，正逐步进入大模型时代，为各行各业的跨越式发展提供新的范式和视角，成为推动科技跨越发展、产业优化升级、生产力整体跃升的重要驱动力量。人工智能大模型“走深向实”，在技术发展与产业落地深度融合中迈出坚实步伐。基于持续迭代升级的自然语言与多模态信息处理能力以及超强的迁移学习和少样本学习能力，大模型可以进行复杂的逻辑推理，快速掌握新任务，实现对不同领域、不同数据模式的适配，从而易于赋能不同行业，实现产业效率的巨大提升。
